boro_code,ct2010,crashes_total,prob_per_killed_total,prob_per_injured_total,prob_ped_killed_total,prob_ped_injured_total,prob_cyclist_killed_total,prob_cyclist_injured_total,prob_motorist_killed_total,prob_motorist_injured_total
3,073600,449,0.0,0.21603563474387527,0.0,0.07126948775055679,0.0,0.017817371937639197,0.0,0.1291759465478842
3,073800,603,0.0,0.24046434494195687,0.0,0.04809286898839138,0.0,0.014925373134328358,0.0,0.1791044776119403
3,074000,561,0.0017825311942959,0.22281639928698752,0.0017825311942959,0.044563279857397504,0.0,0.0285204991087344,0.0,0.14795008912655971
3,074200,539,0.0,0.24860853432282004,0.0,0.059369202226345084,0.0,0.02411873840445269,0.0,0.1614100185528757
3,074400,170,0.0,0.24705882352941178,0.0,0.09411764705882353,0.0,0.01764705882352941,0.0,0.12941176470588237
3,074600,659,0.0015174506828528073,0.23975720789074356,0.0015174506828528073,0.07587253414264036,0.0,0.030349013657056147,0.0,0.13050075872534142
3,074800,530,0.0,0.2660377358490566,0.0,0.09622641509433963,0.0,0.022641509433962263,0.0,0.14528301886792452
3,075000,362,0.0,0.23204419889502761,0.0,0.0856353591160221,0.0,0.027624309392265192,0.0,0.11602209944751381
3,075200,355,0.0,0.28732394366197184,0.0,0.05070422535211268,0.0,0.01971830985915493,0.0,0.22535211267605634
3,075400,186,0.0,0.3655913978494624,0.0,0.04838709677419355,0.0,0.026881720430107527,0.0,0.2956989247311828
3,075600,332,0.0,0.3192771084337349,0.0,0.06626506024096386,0.0,0.045180722891566265,0.0,0.20783132530120482
3,075800,350,0.0,0.23714285714285716,0.0,0.04285714285714286,0.0,0.02857142857142857,0.0,0.16285714285714287
3,076000,656,0.001524390243902439,0.29573170731707316,0.001524390243902439,0.07774390243902439,0.0,0.03201219512195122,0.0,0.18445121951219512
3,076200,520,0.0019230769230769232,0.29615384615384616,0.0019230769230769232,0.06538461538461539,0.0,0.032692307692307694,0.0,0.19615384615384615
3,076400,266,0.0,0.2631578947368421,0.0,0.06015037593984962,0.0,0.03383458646616541,0.0,0.16541353383458646
3,076600,275,0.0,0.3381818181818182,0.0,0.09818181818181818,0.0,0.03272727272727273,0.0,0.20727272727272728
3,076800,927,0.003236245954692557,0.21574973031283712,0.0010787486515641855,0.07766990291262135,0.0010787486515641855,0.032362459546925564,0.0010787486515641855,0.10571736785329018
3,077000,524,0.0,0.3187022900763359,0.0,0.07251908396946564,0.0,0.04770992366412214,0.0,0.1946564885496183
3,077200,525,0.0,0.3028571428571429,0.0,0.0761904761904762,0.0,0.049523809523809526,0.0,0.17523809523809525
3,077400,915,0.0,0.22295081967213115,0.0,0.08306010928961749,0.0,0.02841530054644809,0.0,0.10819672131147541
3,077600,668,0.0,0.27395209580838326,0.0,0.07335329341317365,0.0,0.020958083832335328,0.0,0.17964071856287425
3,078000,130,0.0,0.34615384615384615,0.0,0.046153846153846156,0.0,0.015384615384615385,0.0,0.2846153846153846
3,078200,457,0.0,0.29321663019693656,0.0,0.024070021881838075,0.0,0.030634573304157548,0.0,0.24070021881838075
