boro_code,ct2010,c_lat,c_lon
2,038200,40.877,-73.855
3,049400,40.643,-73.974
4,049200,40.723,-73.758
4,012200,40.697,-73.831
4,014400,40.699,-73.829
4,015000,40.693,-73.821
3,038500,40.687,-73.927
3,030100,40.678,-73.916
4,012000,40.692,-73.829
4,014800,40.695,-73.822
3,014900,40.662,-73.985
3,014700,40.66,-73.99
4,146700,40.761,-73.773
1,000100,40.696,-74.042
3,044800,40.618,-73.973
3,045000,40.622,-73.973
3,080200,40.658,-73.953
3,075800,40.616,-73.952
4,040500,40.75,-73.863
4,040700,40.75,-73.866
4,040900,40.75,-73.868
1,013100,40.762,-73.982
4,025700,40.75,-73.905
2,021002,40.838,-73.857
2,038800,40.88,-73.855
2,038600,40.88,-73.848
3,037300,40.684,-73.915
2,022901,40.846,-73.907
2,004600,40.822,-73.869
3,011200,40.642,-73.996
3,039400,40.598,-73.965
3,041600,40.602,-73.963
3,093400,40.649,-73.919
4,048200,40.715,-73.768
3,028502,40.697,-73.941
3,072000,40.629,-73.92
3,072200,40.632,-73.924
4,083800,40.67,-73.82
1,017402,40.797,-73.947
4,046400,40.717,-73.787
3,024300,40.687,-73.953
3,025100,40.688,-73.949
3,026500,40.687,-73.945
3,018100,40.688,-73.972
4,084601,40.667,-73.822
4,139900,40.75,-73.762
4,144100,40.756,-73.764
2,018400,40.837,-73.829
2,016400,40.832,-73.825
4,046000,40.708,-73.793
4,024000,40.703,-73.805
4,006900,40.772,-73.922
3,015000,40.615,-74.011
1,007000,40.743,-73.977
4,009500,40.774,-73.921
4,035200,40.679,-73.758
3,118201,40.688,-73.872
4,041400,40.7,-73.781
4,044000,40.703,-73.785
4,077908,40.726,-73.814
3,018300,40.691,-73.971
3,021100,40.697,-73.975
3,018700,40.695,-73.971
2,008400,40.816,-73.848
4,053100,40.723,-73.908
1,022400,40.811,-73.947
4,015801,40.689,-73.812
4,024600,40.701,-73.796
1,007200,40.745,-73.981
4,043900,40.742,-73.856
3,036900,40.68,-73.909
4,145101,40.755,-73.785
4,019800,40.692,-73.803
4,019600,40.689,-73.8
4,020200,40.69,-73.808
4,043701,40.739,-73.851
4,043702,40.738,-73.857
4,025800,40.696,-73.787
3,052300,40.712,-73.959
5,014607,40.557,-74.164
3,037401,40.588,-73.968
2,005400,40.83,-73.88
3,059000,40.59,-73.955
4,002400,40.697,-73.847
4,002600,40.697,-73.843
4,113300,40.764,-73.783
3,059800,40.588,-73.936
3,047800,40.633,-73.979
3,003500,40.685,-73.976
3,017900,40.684,-73.971
3,020500,40.677,-73.966
3,031702,40.671,-73.95
3,032100,40.667,-73.952
3,042400,40.607,-73.976
3,041200,40.604,-73.974
3,024400,40.622,-73.986
3,046800,40.621,-73.981
4,053900,40.711,-73.917
3,027500,40.684,-73.938
3,027700,40.687,-73.939
2,007400,40.819,-73.853
2,008600,40.82,-73.85
2,022101,40.838,-73.918
4,009800,40.685,-73.831
4,011000,40.687,-73.835
4,070700,40.715,-73.856
4,070900,40.719,-73.855
3,048900,40.703,-73.939
3,049300,40.708,-73.941
1,008200,40.751,-73.981
2,007800,40.829,-73.853
2,009200,40.832,-73.852
3,079801,40.66,-73.959
4,134700,40.738,-73.781
4,040400,40.705,-73.771
3,042300,40.699,-73.927
4,008300,40.773,-73.929
4,062600,40.682,-73.748
4,021400,40.706,-73.815
3,028000,40.602,-74.006
4,014201,40.701,-73.825
4,045200,40.715,-73.8
4,045400,40.713,-73.796
3,030700,40.676,-73.926
3,034700,40.673,-73.928
4,085700,40.757,-73.823
4,015100,40.76,-73.911
4,016300,40.756,-73.91
1,025500,40.845,-73.944
2,034300,40.91,-73.898
4,013500,40.771,-73.899
4,042700,40.744,-73.854
4,026000,40.693,-73.793
4,026200,40.691,-73.792
3,019100,40.695,-73.964
2,021501,40.849,-73.918
4,018300,40.745,-73.92
4,025301,40.745,-73.917
2,014400,40.821,-73.823
2,026601,40.847,-73.834
2,026602,40.846,-73.831
4,099900,40.792,-73.777
4,010000,40.681,-73.829
3,030600,40.591,-73.986
3,053500,40.706,-73.961
3,032800,40.576,-73.998
3,030300,40.675,-73.918
3,079602,40.653,-73.958
3,082000,40.653,-73.951
3,082200,40.653,-73.954
3,078200,40.638,-73.941
3,019300,40.691,-73.963
3,023300,40.689,-73.957
4,018101,40.745,-73.924
4,018102,40.744,-73.922
4,115500,40.768,-73.812
3,054600,40.613,-73.953
3,054800,40.609,-73.948
3,087600,40.661,-73.936
3,022400,40.641,-73.99
3,048800,40.64,-73.976
3,022600,40.642,-73.986
3,022800,40.639,-73.982
3,049600,40.644,-73.98
3,049800,40.645,-73.983
3,006400,40.629,-74.029
3,013800,40.624,-74.026
3,006200,40.625,-74.03
3,014800,40.617,-74.013
3,041000,40.601,-73.975
3,023400,40.634,-73.988
3,011600,40.636,-74.004
3,021600,40.633,-74.0
3,010000,40.642,-74.01
3,010600,40.639,-74.006
3,009200,40.645,-73.999
4,042400,40.695,-73.772
3,051002,40.649,-73.96
3,049000,40.638,-73.973
3,049200,40.641,-73.97
3,029500,40.685,-73.932
3,038300,40.685,-73.926
3,039200,40.596,-73.963
1,008400,40.752,-73.984
4,061000,40.69,-73.743
4,061200,40.688,-73.737
4,052100,40.721,-73.902
2,015900,40.822,-73.894
4,035800,40.676,-73.751
4,064600,40.673,-73.742
3,077000,40.636,-73.954
3,020300,40.68,-73.965
3,019900,40.684,-73.967
3,020100,40.684,-73.963
4,084602,40.665,-73.817
3,036100,40.67,-73.92
3,031100,40.676,-73.939
3,096200,40.645,-73.911
4,071305,40.724,-73.851
4,017800,40.677,-73.809
4,084000,40.674,-73.818
3,061003,40.581,-73.959
4,057700,40.7,-73.891
4,057900,40.703,-73.89
4,003000,40.692,-73.847
1,030900,40.876,-73.91
4,099801,40.598,-73.758
4,023600,40.707,-73.805
4,023800,40.705,-73.809
4,043200,40.691,-73.776
2,035900,40.84,-73.883
2,036100,40.842,-73.88
4,010800,40.689,-73.831
4,027800,40.686,-73.783
4,018200,40.676,-73.799
4,018600,40.68,-73.799
4,052200,40.7,-73.757
4,051600,40.703,-73.747
